"TIME","GEO","SEX","AGE","ISCED11","UNIT","Value","Flag and Footnotes"
"2007","Malta","Total","Less than 1 year","All ISCED 2011 levels ","Year","79.9",""
"2007","Malta","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","79.6",""
"2007","Malta","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","79.9",""
"2007","Malta","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","82.1",""
"2007","Poland","Total","Less than 1 year","All ISCED 2011 levels ","Year",":",""
"2007","Poland","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year",":",""
"2007","Poland","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year",":",""
"2007","Poland","Total","Less than 1 year","Tertiary education (levels 5-8)","Year",":",""
"2007","Portugal","Total","Less than 1 year","All ISCED 2011 levels ","Year",":",""
"2007","Portugal","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year",":",""
"2007","Portugal","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year",":",""
"2007","Portugal","Total","Less than 1 year","Tertiary education (levels 5-8)","Year",":",""
"2007","Romania","Total","Less than 1 year","All ISCED 2011 levels ","Year","73.1",""
"2007","Romania","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","69.3",""
"2007","Romania","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","74.9",""
"2007","Romania","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","76.0",""
"2007","Slovenia","Total","Less than 1 year","All ISCED 2011 levels ","Year","78.4",""
"2007","Slovenia","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","74.3",""
"2007","Slovenia","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","78.6",""
"2007","Slovenia","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","81.5",""
"2007","Slovakia","Total","Less than 1 year","All ISCED 2011 levels ","Year",":",""
"2007","Slovakia","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year",":",""
"2007","Slovakia","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year",":",""
"2007","Slovakia","Total","Less than 1 year","Tertiary education (levels 5-8)","Year",":",""
"2007","Finland","Total","Less than 1 year","All ISCED 2011 levels ","Year","79.6",""
"2007","Finland","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","76.3",""
"2007","Finland","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","79.8",""
"2007","Finland","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","82.1",""
"2007","Sweden","Total","Less than 1 year","All ISCED 2011 levels ","Year","81.1",""
"2007","Sweden","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","78.9",""
"2007","Sweden","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","81.1",""
"2007","Sweden","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","82.9",""
"2007","Norway","Total","Less than 1 year","All ISCED 2011 levels ","Year","80.6",""
"2007","Norway","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","78.2",""
"2007","Norway","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","80.9",""
"2007","Norway","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","82.7",""
"2007","Former Yugoslav Republic of Macedonia, the","Total","Less than 1 year","All ISCED 2011 levels ","Year","73.8",""
"2007","Former Yugoslav Republic of Macedonia, the","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","72.9",""
"2007","Former Yugoslav Republic of Macedonia, the","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","74.2",""
"2007","Former Yugoslav Republic of Macedonia, the","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","76.6",""
"2007","Turkey","Total","Less than 1 year","All ISCED 2011 levels ","Year",":",""
"2007","Turkey","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year",":",""
"2007","Turkey","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year",":",""
"2007","Turkey","Total","Less than 1 year","Tertiary education (levels 5-8)","Year",":",""
"2008","Bulgaria","Total","Less than 1 year","All ISCED 2011 levels ","Year","73.3",""
"2008","Bulgaria","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","66.6",""
"2008","Bulgaria","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","75.5",""
"2008","Bulgaria","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","78.1",""
"2008","Czech Republic","Total","Less than 1 year","All ISCED 2011 levels ","Year","77.3",""
"2008","Czech Republic","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","75.4",""
"2008","Czech Republic","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","76.7",""
"2008","Czech Republic","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","82.4",""
"2008","Denmark","Total","Less than 1 year","All ISCED 2011 levels ","Year","78.8",""
"2008","Denmark","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","76.3",""
"2008","Denmark","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","79.1",""
"2008","Denmark","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","81.1",""
"2008","Estonia","Total","Less than 1 year","All ISCED 2011 levels ","Year","74.3",""
"2008","Estonia","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","64.2",""
"2008","Estonia","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","74.2",""
"2008","Estonia","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","80.6",""
"2008","Greece","Total","Less than 1 year","All ISCED 2011 levels ","Year",":",""
"2008","Greece","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year",":",""
"2008","Greece","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year",":",""
"2008","Greece","Total","Less than 1 year","Tertiary education (levels 5-8)","Year",":",""
"2008","Croatia","Total","Less than 1 year","All ISCED 2011 levels ","Year","76.1",""
"2008","Croatia","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","75.0",""
"2008","Croatia","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","75.5",""
"2008","Croatia","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","79.3",""
"2008","Italy","Total","Less than 1 year","All ISCED 2011 levels ","Year","81.9",""
"2008","Italy","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","80.4",""
"2008","Italy","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","84.3",""
"2008","Italy","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","84.5",""
"2008","Hungary","Total","Less than 1 year","All ISCED 2011 levels ","Year","74.2",""
"2008","Hungary","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","69.4",""
"2008","Hungary","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","76.2",""
"2008","Hungary","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","78.3",""
"2008","Malta","Total","Less than 1 year","All ISCED 2011 levels ","Year","79.7",""
"2008","Malta","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","79.4",""
"2008","Malta","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","79.9",""
"2008","Malta","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","81.9",""
"2008","Poland","Total","Less than 1 year","All ISCED 2011 levels ","Year","75.6",""
"2008","Poland","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","70.7",""
"2008","Poland","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","75.8",""
"2008","Poland","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","80.1",""
"2008","Portugal","Total","Less than 1 year","All ISCED 2011 levels ","Year",":",""
"2008","Portugal","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year",":",""
"2008","Portugal","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year",":",""
"2008","Portugal","Total","Less than 1 year","Tertiary education (levels 5-8)","Year",":",""
"2008","Romania","Total","Less than 1 year","All ISCED 2011 levels ","Year","73.5",""
"2008","Romania","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","69.5",""
"2008","Romania","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","75.7",""
"2008","Romania","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","74.1",""
"2008","Slovenia","Total","Less than 1 year","All ISCED 2011 levels ","Year","79.1",""
"2008","Slovenia","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","76.1",""
"2008","Slovenia","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","79.3",""
"2008","Slovenia","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","81.7",""
"2008","Slovakia","Total","Less than 1 year","All ISCED 2011 levels ","Year",":",""
"2008","Slovakia","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year",":",""
"2008","Slovakia","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year",":",""
"2008","Slovakia","Total","Less than 1 year","Tertiary education (levels 5-8)","Year",":",""
"2008","Finland","Total","Less than 1 year","All ISCED 2011 levels ","Year","79.9",""
"2008","Finland","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","76.8",""
"2008","Finland","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","80.0",""
"2008","Finland","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","82.5",""
"2008","Sweden","Total","Less than 1 year","All ISCED 2011 levels ","Year","81.3",""
"2008","Sweden","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","78.9",""
"2008","Sweden","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","81.3",""
"2008","Sweden","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","83.1",""
"2008","Norway","Total","Less than 1 year","All ISCED 2011 levels ","Year","80.8",""
"2008","Norway","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","78.4",""
"2008","Norway","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","81.1",""
"2008","Norway","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","82.8",""
"2008","Former Yugoslav Republic of Macedonia, the","Total","Less than 1 year","All ISCED 2011 levels ","Year","74.4",""
"2008","Former Yugoslav Republic of Macedonia, the","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","73.6",""
"2008","Former Yugoslav Republic of Macedonia, the","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","74.8",""
"2008","Former Yugoslav Republic of Macedonia, the","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","77.2",""
"2008","Turkey","Total","Less than 1 year","All ISCED 2011 levels ","Year",":",""
"2008","Turkey","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year",":",""
"2008","Turkey","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year",":",""
"2008","Turkey","Total","Less than 1 year","Tertiary education (levels 5-8)","Year",":",""
"2009","Bulgaria","Total","Less than 1 year","All ISCED 2011 levels ","Year","73.7",""
"2009","Bulgaria","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","66.5",""
"2009","Bulgaria","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","76.0",""
"2009","Bulgaria","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","78.6",""
"2009","Czech Republic","Total","Less than 1 year","All ISCED 2011 levels ","Year","77.4",""
"2009","Czech Republic","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","74.9",""
"2009","Czech Republic","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","76.8",""
"2009","Czech Republic","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","82.5",""
"2009","Denmark","Total","Less than 1 year","All ISCED 2011 levels ","Year","79.0",""
"2009","Denmark","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","76.4",""
"2009","Denmark","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","79.3",""
"2009","Denmark","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","81.3",""
"2009","Estonia","Total","Less than 1 year","All ISCED 2011 levels ","Year","75.2",""
"2009","Estonia","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","65.6",""
"2009","Estonia","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","74.7",""
"2009","Estonia","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","81.5",""
"2009","Greece","Total","Less than 1 year","All ISCED 2011 levels ","Year",":",""
"2009","Greece","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year",":",""
"2009","Greece","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year",":",""
"2009","Greece","Total","Less than 1 year","Tertiary education (levels 5-8)","Year",":",""
"2009","Croatia","Total","Less than 1 year","All ISCED 2011 levels ","Year","76.4",""
"2009","Croatia","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","75.5",""
"2009","Croatia","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","75.4",""
"2009","Croatia","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","79.8",""
"2009","Italy","Total","Less than 1 year","All ISCED 2011 levels ","Year","82.1",""
"2009","Italy","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","80.5",""
"2009","Italy","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","84.4",""
"2009","Italy","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","84.7",""
"2009","Hungary","Total","Less than 1 year","All ISCED 2011 levels ","Year","74.4",""
"2009","Hungary","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","69.5",""
"2009","Hungary","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","76.4",""
"2009","Hungary","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","78.5",""
"2009","Malta","Total","Less than 1 year","All ISCED 2011 levels ","Year","80.4",""
"2009","Malta","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","79.9",""
"2009","Malta","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","80.7",""
"2009","Malta","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","82.9",""
"2009","Poland","Total","Less than 1 year","All ISCED 2011 levels ","Year","75.9",""
"2009","Poland","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","70.8",""
"2009","Poland","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","75.9",""
"2009","Poland","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","80.3",""
"2009","Portugal","Total","Less than 1 year","All ISCED 2011 levels ","Year",":",""
"2009","Portugal","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year",":",""
"2009","Portugal","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year",":",""
"2009","Portugal","Total","Less than 1 year","Tertiary education (levels 5-8)","Year",":",""
"2009","Romania","Total","Less than 1 year","All ISCED 2011 levels ","Year","73.7",""
"2009","Romania","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","70.0",""
"2009","Romania","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","75.1",""
"2009","Romania","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","76.8",""
"2009","Slovenia","Total","Less than 1 year","All ISCED 2011 levels ","Year","79.4",""
"2009","Slovenia","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","74.7",""
"2009","Slovenia","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","80.3",""
"2009","Slovenia","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","82.5",""
"2009","Slovakia","Total","Less than 1 year","All ISCED 2011 levels ","Year",":",""
"2009","Slovakia","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year",":",""
"2009","Slovakia","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year",":",""
"2009","Slovakia","Total","Less than 1 year","Tertiary education (levels 5-8)","Year",":",""
"2009","Finland","Total","Less than 1 year","All ISCED 2011 levels ","Year","80.1",""
"2009","Finland","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","76.9",""
"2009","Finland","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","80.1",""
"2009","Finland","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","82.5",""
"2009","Sweden","Total","Less than 1 year","All ISCED 2011 levels ","Year","81.5",""
"2009","Sweden","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","79.3",""
"2009","Sweden","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","81.5",""
"2009","Sweden","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","83.4",""
"2009","Norway","Total","Less than 1 year","All ISCED 2011 levels ","Year","81.0",""
"2009","Norway","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","78.2",""
"2009","Norway","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","81.5",""
"2009","Norway","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","82.8",""
"2009","Former Yugoslav Republic of Macedonia, the","Total","Less than 1 year","All ISCED 2011 levels ","Year","74.4",""
"2009","Former Yugoslav Republic of Macedonia, the","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","73.4",""
"2009","Former Yugoslav Republic of Macedonia, the","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","74.6",""
"2009","Former Yugoslav Republic of Macedonia, the","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","77.7",""
"2009","Turkey","Total","Less than 1 year","All ISCED 2011 levels ","Year",":",""
"2009","Turkey","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year",":",""
"2009","Turkey","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year",":",""
"2009","Turkey","Total","Less than 1 year","Tertiary education (levels 5-8)","Year",":",""
"2010","Bulgaria","Total","Less than 1 year","All ISCED 2011 levels ","Year","73.8",""
"2010","Bulgaria","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","67.1",""
"2010","Bulgaria","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","76.0",""
"2010","Bulgaria","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","78.4",""
"2010","Czech Republic","Total","Less than 1 year","All ISCED 2011 levels ","Year","77.7",""
"2010","Czech Republic","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","72.5",""
"2010","Czech Republic","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","77.8",""
"2010","Czech Republic","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","82.0",""
"2010","Denmark","Total","Less than 1 year","All ISCED 2011 levels ","Year","79.3",""
"2010","Denmark","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","76.5",""
"2010","Denmark","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","79.6",""
"2010","Denmark","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","81.6",""
"2010","Estonia","Total","Less than 1 year","All ISCED 2011 levels ","Year","76.0",""
"2010","Estonia","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","67.1",""
"2010","Estonia","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","75.7",""
"2010","Estonia","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","81.3",""
"2010","Greece","Total","Less than 1 year","All ISCED 2011 levels ","Year",":",""
"2010","Greece","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year",":",""
"2010","Greece","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year",":",""
"2010","Greece","Total","Less than 1 year","Tertiary education (levels 5-8)","Year",":",""
"2010","Croatia","Total","Less than 1 year","All ISCED 2011 levels ","Year","76.7",""
"2010","Croatia","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","76.0",""
"2010","Croatia","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","76.1",""
"2010","Croatia","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","80.2",""
"2010","Italy","Total","Less than 1 year","All ISCED 2011 levels ","Year","82.3",""
"2010","Italy","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","80.7",""
"2010","Italy","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","84.4",""
"2010","Italy","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","84.9",""
"2010","Hungary","Total","Less than 1 year","All ISCED 2011 levels ","Year","74.7",""
"2010","Hungary","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","69.7",""
"2010","Hungary","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","76.7",""
"2010","Hungary","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","78.7",""
"2010","Malta","Total","Less than 1 year","All ISCED 2011 levels ","Year","81.5",""
"2010","Malta","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","80.8",""
"2010","Malta","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","82.9",""
"2010","Malta","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","83.9",""
"2010","Poland","Total","Less than 1 year","All ISCED 2011 levels ","Year","76.4",""
"2010","Poland","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","71.3",""
"2010","Poland","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","76.4",""
"2010","Poland","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","80.9",""
"2010","Portugal","Total","Less than 1 year","All ISCED 2011 levels ","Year","80.1",""
"2010","Portugal","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","79.7",""
"2010","Portugal","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","80.7",""
"2010","Portugal","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","81.9",""
"2010","Romania","Total","Less than 1 year","All ISCED 2011 levels ","Year","73.7",""
"2010","Romania","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","70.4",""
"2010","Romania","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","75.6",""
"2010","Romania","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","74.4",""
"2010","Slovenia","Total","Less than 1 year","All ISCED 2011 levels ","Year","79.8",""
"2010","Slovenia","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","75.1",""
"2010","Slovenia","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","80.6",""
"2010","Slovenia","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","83.3",""
